# Time          1.0000E+02
# Units: Mol/kgw
    Distance      H+             CO2(aq)        Mg++           Ca++           K+             SiO2(aq)       Na+            Al+++          Cl-            Sr++           NO3-           SO4--          Fe++           Fe+++        
   5.018350E-02  -4.246421E-05   5.087035E-04   6.884103E-05   9.070089E-05   1.896712E-05   2.028037E-05   4.289320E-04   6.125202E-06   4.650000E-04   5.070000E-07   1.000000E-04   1.610000E-04   1.794082E-08   7.136330E-09
   1.505505E-01  -5.301376E-05   5.087035E-04   6.886304E-05   9.070137E-05   2.025256E-05   2.907711E-05   4.308109E-04   8.561753E-06   4.650000E-04   5.070000E-07   1.000000E-04   1.610000E-04   2.750923E-08   1.096369E-08
   2.509175E-01  -6.135494E-05   5.087035E-04   6.888587E-05   9.070187E-05   2.149738E-05   3.691901E-05   4.325990E-04   1.030504E-05   4.650000E-04   5.070000E-07   1.000000E-04   1.610000E-04   3.743349E-08   1.493339E-08
   3.512845E-01  -6.744936E-05   5.087035E-04   6.891048E-05   9.070240E-05   2.275425E-05   4.399597E-05   4.343652E-04   1.130065E-05   4.650000E-04   5.070000E-07   1.000000E-04   1.610000E-04   4.813627E-08   1.921451E-08
   4.516515E-01  -7.228457E-05   5.087035E-04   6.893497E-05   9.070293E-05   2.390548E-05   5.038855E-05   4.360782E-04   1.192961E-05   4.650000E-04   5.070000E-07   1.000000E-04   1.610000E-04   5.878211E-08   2.347285E-08
   5.767435E-01  -7.686285E-05   5.087035E-04   6.897798E-05   9.070387E-05   2.588150E-05   6.007340E-05   4.389899E-04   1.177719E-05   4.650000E-04   5.070000E-07   1.000000E-04   1.610000E-04   7.748394E-08   3.095358E-08
   7.265605E-01  -7.653750E-05   5.087035E-04   6.902855E-05   9.070497E-05   2.823169E-05   6.945361E-05   4.423241E-04   9.716055E-06   4.650000E-04   5.070000E-07   1.000000E-04   1.610000E-04   9.946795E-08   3.974718E-08
   8.763775E-01  -7.664529E-05   5.087035E-04   6.907665E-05   9.070601E-05   3.072598E-05   7.946493E-05   4.458067E-04   7.704616E-06   4.650000E-04   5.070000E-07   1.000000E-04   1.610000E-04   1.203833E-07   4.811333E-08
   1.026194E+00  -7.725688E-05   5.087035E-04   6.911775E-05   9.070691E-05   3.307540E-05   8.880740E-05   4.489333E-04   6.036090E-06   4.650000E-04   5.070000E-07   1.000000E-04   1.610000E-04   1.382510E-07   5.526039E-08
   1.176011E+00  -8.040812E-05   5.087035E-04   6.917007E-05   9.070805E-05   3.553693E-05   1.002029E-04   4.526697E-04   4.960614E-06   4.650000E-04   5.070000E-07   1.000000E-04   1.610000E-04   1.610018E-07   6.436074E-08
   1.325829E+00  -8.221818E-05   5.087035E-04   6.921378E-05   9.070900E-05   3.782443E-05   1.103993E-04   4.561305E-04   3.597846E-06   4.650000E-04   5.070000E-07   1.000000E-04   1.610000E-04   1.800037E-07   7.196150E-08
   1.475646E+00  -8.671075E-05   5.087035E-04   6.925401E-05   9.070987E-05   3.997704E-05   1.209809E-04   4.594213E-04   3.234823E-06   4.650000E-04   5.070000E-07   1.000000E-04   1.610000E-04   1.974935E-07   7.895742E-08
   1.625463E+00  -9.117718E-05   5.087035E-04   6.929862E-05   9.071084E-05   4.212288E-05   1.317419E-04   4.628310E-04   2.820716E-06   4.650000E-04   5.070000E-07   1.000000E-04   1.610000E-04   2.168896E-07   8.671584E-08
   1.775280E+00  -9.478860E-05   5.087035E-04   6.933965E-05   9.071173E-05   4.416525E-05   1.419427E-04   4.661797E-04   2.180530E-06   4.650000E-04   5.070000E-07   1.000000E-04   1.610000E-04   2.347301E-07   9.385204E-08
   1.925097E+00  -9.751319E-05   5.087035E-04   6.937454E-05   9.071249E-05   4.564442E-05   1.488566E-04   4.682979E-04   1.849658E-06   4.650000E-04   5.070000E-07   1.000000E-04   1.610000E-04   2.498988E-07   9.991953E-08
